zmid,znum,zerr
-243.52582480047576,7,2.6457513110645907
-216.86255459555287,13,3.605551275463989
-190.19928439063,23,4.795831523312719
-163.53601418570713,59,7.681145747868608
-136.87274398078424,114,10.677078252031311
-110.20947377586137,157,12.529964086141668
-83.54620357093849,246,15.684387141358123
-56.88293336601561,289,17.0
-30.21966316109274,311,17.635192088548397
-3.5563929561698586,252,15.874507866387544
23.106877248753023,220,14.832396974191326
49.77014745367589,137,11.704699910719626
76.43341765859876,87,9.327379053088816
103.09668786352165,47,6.855654600401044
129.75995806844455,28,5.291502622129181
156.4232282733674,7,2.6457513110645907
183.08649847829028,2,1.4142135623730951
209.74976868321315,0,0.0
236.41303888813604,0,0.0
263.07630909305897,1,1.0
